category,link,title
Electronics,https://www.amazon.com/dp/B0F5HNWHTX,"Compressed Air Duster, 130,000RPM Ultra-Powerful Cordless Electric Air Duster with 8000mAh Rechargeable Battery, 4-Gear Adjustable Air Blower for Keyboard, Computer, Car, Home Cleaning"
Electronics,https://www.amazon.com/dp/B0DSHVRDJ6,"Compressed Air Duster, 260000RPM Cordless Electric Air Blower with Brushless Motor, 3-Speed Adjustable & Rechargeable – Powerful Dust Cleaner for Keyboard, Computer, Car, Outdoor, Air Bed"
Electronics,https://www.amazon.com/dp/B0F1Y41G14,"Compressed Air Duster, 180000RPM Electric Air Duster, Rechargeable Cordless Air Blower with 3-Gear Turbo Fan, Canned Air Alternative for Keyboard, PC, Computer, Car, Home & Outdoor Use (Pure Black)"
Electronics,https://www.amazon.com/dp/B08FDNGJ5X,"Powermax 100-Count Triple AAA Batteries, Ultra Long Lasting Alkaline Battery for Home and Office, 10-Year Shelf Life, Reclosable Packaging"
Electronics,https://www.amazon.com/dp/B0DH29JMW5,"Temperature Control Heated Travel Mug Smart Self Heating Coffee Mug 20 Oz App Controlled LED Display coffee serving sets mug kept at a constant temperature for 4-10 hours (Black, 20 oz)"
Cell_Phones_and_Accessories,https://www.amazon.com/dp/B0DN6VV335,"STAR WARS Stormtrooper Electronic Mask with Phrases & Sound Effects, Costume for Kids, Toys for Boys & Girls Ages 5+"
Cell_Phones_and_Accessories,https://www.amazon.com/dp/B0F62S8P1T,"UGREEN USB-C to USB-C 240W Fast Charging Cable with Digital Display for Real-Time Power Monitoring, PD 100W Braided Data Cable for MacBook Pro/Air, iPad Pro, Dell XPS, and Gaming Laptops, 3.3FT"
Cell_Phones_and_Accessories,https://www.amazon.com/dp/B0GJZSK6T9,"Pastigio Smart Digital Calendar, 15.6 Inch Electronic Touch Screen Family AI Calendar & Chore Chart with Tasks Rewards, No Subscription, Digital Photo Frame Wall & Tabletop Mount for Home Planner"
Cell_Phones_and_Accessories,https://www.amazon.com/dp/B0FQFL8PZ5,"Apple Watch Series 11 [GPS 42mm] Smartwatch with Jet Black Aluminum Case with Black Sport Band - S/M. Sleep Score, Fitness Tracker, Health Monitoring, Always-On Display, Water Resistant"
Video_Games,https://www.amazon.com/dp/B00IGI3G3G,Transformers Rise of the Dark Spark - PlayStation 4
Video_Games,https://www.amazon.com/dp/B0BV6G965P,Lofaris Game On Backdrop Video Game Boys Birthday Photography Background Colorful Lights Party Supplies Kids Adults Gaming Party Decorations Baby Shower Cake Table Photo Booth 5x3ft
Video_Games,https://www.amazon.com/dp/B0G2LVKMKG,"HappFestiv 50 Pcs Video Game Party Favor Bags, Game on Plastic Treat Bags for Candy & Small Gifts, Gaming Gift Bags Candy Bags, Birthday Themed Party Supplies for Boys"
Video_Games,https://www.amazon.com/dp/B08L64YGLS,Five Nights at Freddy's: The Core Collection Nintendo Switch
Video_Games,https://www.amazon.com/dp/B0BL7DRS5M,Tiamon 172 Pcs Video Game Party Decoration - Serves 24 Gaming Party Tableware Supplies Include Happy Birthday Banner Plates Napkins Cups Forks Knives Spoon Tablecloth for Boy Kids(Blue)
Beauty_and_Personal_Care,https://www.amazon.com/dp/B08H3JPH74,"Maybelline Lash Sensational Sky High Washable Mascara Makeup, Volumizing, Lengthening, Defining, Curling, Multiplying, Buildable Formula, Blackest Black, 1 Count"
Beauty_and_Personal_Care,https://www.amazon.com/dp/B0CD7PWYQN,"Beauty of Joseon Light On Serum Vitamin C Centella Dark Spot Fine Lines Pigmentation Correcting Serum, Hydrating Moisturizer, Korean Skin Care for Men and Women, 30ml, 1 fl.oz"
Beauty_and_Personal_Care,https://www.amazon.com/dp/B0BN2PX8V3,"Anua Heartleaf Pore Control Cleansing Oil, Pore Cleanser, Sebum Care, Gentle Melting Oil Cleanser for Face, Safe For All Skin Type, Daily Hydrating Makeup Remover, Korean Skin Care (6.76fl.oz)"
